Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
291,1,6.92,1,1,1,111
309,1,5.12,1,1,1,111
317,1,31.91,1,1,3,113
269,1,15.83,2,1,2,212
206,1,18.21,2,1,2,212
281,3,21.34,1,3,2,132
310,1,11.51,1,1,2,112
339,1,2.13,1,1,1,111
361,1,16.71,1,1,2,112
237,1,7.44,2,1,1,211
75,3,47.97,3,3,3,333
331,3,37.74,1,3,3,133
279,1,23.41,1,1,2,112
97,1,31.68,3,1,3,313
289,1,37.81,1,1,3,113
246,1,22.05,2,1,2,212
288,7,118.86,1,4,4,144
226,1,39.41,2,1,3,213
262,1,21.130000000000003,2,1,2,212
114,2,18.9,3,3,2,332
297,2,19.98,1,3,2,132
354,1,6.38,1,1,1,111
120,13,140.17,3,4,4,344
318,3,20.18,1,3,2,132
297,2,127.31,1,3,4,134
161,2,97.66,2,3,4,234
315,3,26.46,1,3,3,133
299,5,102.57,1,4,4,144
270,2,36.12,2,3,3,233
327,3,346.68,1,3,4,134
213,5,81.75,2,4,4,244
337,1,45.45,1,1,3,113
235,1,2.06,2,1,1,211
254,3,79.97,2,3,4,234
303,3,159.61,1,3,4,134
189,3,30.61,2,3,3,233
194,2,4.82,2,3,1,231
254,2,23.45,2,3,2,232
185,8,196.25,2,4,4,244
359,1,32.5,1,1,3,113
155,3,510.03999999999996,2,3,4,234
278,3,20.54,1,3,2,132
313,2,143.34,1,3,4,134
261,6,113.81,2,4,4,244
353,1,314.79999999999995,1,1,4,114
289,2,21.14,1,3,2,132
257,1,4.91,2,1,1,211
276,1,18.32,1,1,2,112
338,4,19.39,1,4,2,142
309,1,9.38,1,1,1,111
307,3,13.51,1,3,2,132
284,2,15.510000000000002,1,3,2,132
274,1,6.630000000000001,1,1,1,111
102,1,12.5,3,1,2,312
330,2,19.71,1,3,2,132
292,3,15.47,1,3,2,132
312,6,354.7,1,4,4,144
100,2,67.97999999999999,3,3,4,334
244,2,11.059999999999999,2,3,2,232
257,1,3.68,2,1,1,211
289,5,131.07,1,4,4,144
265,4,38.22,2,4,3,243
299,2,12.32,1,3,2,132
192,4,284.31,2,4,4,244
135,6,87.13,3,4,4,344
272,2,9.23,2,3,1,231
301,3,32.480000000000004,1,3,3,133
135,6,224.09,3,4,4,344
259,2,7.93,2,3,1,231
103,3,76.67999999999999,3,3,4,334
159,2,39.81,2,3,3,233
354,1,3.27,1,1,1,111
251,4,97.01,2,4,4,244
298,2,94.19,1,3,4,134
199,1,103.23,2,1,4,214
333,1,25.3,1,1,3,113
300,2,67.13000000000001,1,3,4,134
307,3,518.75,1,3,4,134
12,2,19.799999999999997,4,3,2,432
156,1,9.56,2,1,1,211
326,2,8.09,1,3,1,131
241,2,18.799999999999997,2,3,2,232
262,1,14.54,2,1,2,212
120,1,4.57,3,1,1,311
344,1,22.97,1,1,2,112
323,1,3.44,1,1,1,111
313,1,56.21,1,1,3,113
100,1,3.24,3,1,1,311
283,1,6.6899999999999995,1,1,1,111
256,1,4.5,2,1,1,211
294,2,30.45,1,3,3,133
320,1,14.59,1,1,2,112
173,1,15.43,2,1,2,212
198,3,23.439999999999998,2,3,2,232
311,2,144.64,1,3,4,134
320,1,2.11,1,1,1,111
297,1,32.78,1,1,3,113
300,1,25.93,1,1,3,113
271,1,4.5,2,1,1,211
338,2,50.34,1,3,3,133
353,1,15.75,1,1,2,112
353,1,6.35,1,1,1,111
275,1,12.36,1,1,2,112
250,9,57.89,2,4,3,243
144,1,11.62,3,1,2,312
234,4,65.24000000000001,2,4,4,244
269,2,9.399999999999999,2,3,1,231
263,3,27.72,2,3,3,233
315,1,8.24,1,1,1,111
358,1,30.41,1,1,3,113
158,5,36.150000000000006,2,4,3,243
345,1,23.93,1,1,3,113
344,1,9.0,1,1,1,111
268,8,211.08,2,4,4,244
303,1,13.02,1,1,2,112
115,4,52.79,3,4,3,343
310,6,300.83,1,4,4,144
281,2,38.769999999999996,1,3,3,133
306,6,635.72,1,4,4,144
332,1,88.75999999999999,1,1,4,114
358,2,11.75,1,3,2,132
331,1,6.0,1,1,1,111
283,12,392.53,1,4,4,144
356,1,5.25,1,1,1,111
291,6,52.37,1,4,3,143
308,1,4.77,1,1,1,111
272,1,13.59,2,1,2,212
94,1,10.71,3,1,2,312
285,2,29.259999999999998,1,3,3,133
308,2,9.74,1,3,1,131
293,1,32.96,1,1,3,113
278,2,36.96,1,3,3,133
267,3,146.57999999999998,2,3,4,234
118,1,17.71,3,1,2,312
328,1,13.43,1,1,2,112
176,1,26.6,2,1,3,213
308,1,10.12,1,1,1,111
287,1,12.030000000000001,1,1,2,112
302,3,103.68,1,3,4,134
348,1,7.0,1,1,1,111
329,1,5.03,1,1,1,111
296,1,3.38,1,1,1,111
160,1,23.52,2,1,2,212
216,1,5.38,2,1,1,211
339,1,27.08,1,1,3,113
355,1,6.54,1,1,1,111
326,2,44.6,1,3,3,133
84,1,15.8,3,1,2,312
346,1,11.46,1,1,2,112
292,4,39.74,1,4,3,143
191,4,365.35,2,4,4,244
293,1,21.52,1,1,2,112
323,1,11.18,1,1,2,112
98,2,34.68,3,3,3,333
323,2,11.66,1,3,2,132
309,2,6.49,1,3,1,131
319,2,9.61,1,3,1,131
307,1,13.31,1,1,2,112
172,1,12.82,2,1,2,212
105,1,4.57,3,1,1,311
333,1,14.0,1,1,2,112
339,1,0.88,1,1,1,111
269,2,9.879999999999999,2,3,1,231
205,2,31.26,2,3,3,233
204,1,5.56,2,1,1,211
292,4,164.88,1,4,4,144
178,3,17.61,2,3,2,232
329,1,10.190000000000001,1,1,2,112
322,1,12.84,1,1,2,112
313,1,13.93,1,1,2,112
342,1,8.25,1,1,1,111
352,2,36.73,1,3,3,133
107,2,19.71,3,3,2,332
171,2,33.95,2,3,3,233
165,1,14.6,2,1,2,212
335,1,36.0,1,1,3,113
310,1,5.92,1,1,1,111
167,1,9.1,2,1,1,211
256,1,22.98,2,1,2,212
166,2,17.13,2,3,2,232
300,5,113.58,1,4,4,144
212,4,115.03,2,4,4,244
268,3,263.83,2,3,4,234
347,1,1.89,1,1,1,111
341,1,8.32,1,1,1,111
356,1,28.060000000000002,1,1,3,113
253,2,59.61,2,3,3,233
289,1,43.56,1,1,3,113
319,1,5.88,1,1,1,111
240,2,9.25,2,3,1,231
327,1,9.68,1,1,1,111
314,1,8.97,1,1,1,111
193,1,3.15,2,1,1,211
337,3,41.36,1,3,3,133
273,1,7.43,1,1,1,111
356,1,6.75,1,1,1,111
304,1,62.41,1,1,3,113
336,1,18.3,1,1,2,112
320,1,5.0,1,1,1,111
337,1,12.5,1,1,2,112
245,1,9.81,2,1,1,211
238,1,9.6,2,1,1,211
362,1,11.690000000000001,1,1,2,112
202,1,13.5,2,1,2,212
358,1,10.56,1,1,2,112
298,3,49.58,1,3,3,133
304,2,58.49,1,3,3,133
104,2,46.49,3,3,3,333
271,6,87.61,2,4,4,244
293,1,4.23,1,1,1,111
191,2,14.27,2,3,2,232
253,2,39.83,2,3,3,233
109,1,5.66,3,1,1,311
47,1,33.63,4,1,3,413
360,1,23.43,1,1,2,112
104,3,36.38,3,3,3,333
327,1,13.07,1,1,2,112
307,2,22.46,1,3,2,132
343,1,12.27,1,1,2,112
134,1,10.850000000000001,3,1,2,312
323,1,5.03,1,1,1,111
327,1,5.87,1,1,1,111
305,5,49.37,1,4,3,143
321,1,14.309999999999999,1,1,2,112
309,1,51.56999999999999,1,1,3,113
221,1,20.21,2,1,2,212
320,1,79.06,1,1,4,114
336,2,25.82,1,3,3,133
79,2,154.9,3,3,4,334
249,1,8.56,2,1,1,211
284,1,2.91,1,1,1,111
286,2,12.209999999999999,1,3,2,132
257,1,11.04,2,1,2,212
147,1,17.21,3,1,2,312
174,2,49.87,2,3,3,233
259,1,2.13,2,1,1,211
264,2,33.46,2,3,3,233
296,1,5.38,1,1,1,111
353,1,2.06,1,1,1,111
239,3,49.96,2,3,3,233
269,4,80.27,2,4,4,244
258,1,4.02,2,1,1,211
78,6,40.97,3,4,3,343
205,2,14.53,2,3,2,232
202,2,62.49,2,3,3,233
326,1,16.69,1,1,2,112
140,1,5.13,3,1,1,311
312,1,5.12,1,1,1,111
351,1,28.49,1,1,3,113
237,1,16.74,2,1,2,212
72,1,4.29,3,1,1,311
303,1,4.27,1,1,1,111
318,1,67.22,1,1,4,114
157,3,48.260000000000005,2,3,3,233
332,1,5.12,1,1,1,111
267,1,20.03,2,1,2,212
312,1,9.73,1,1,1,111
126,1,41.62,3,1,3,313
339,1,8.37,1,1,1,111
360,1,14.6,1,1,2,112
286,1,15.54,1,1,2,112
356,1,5.73,1,1,1,111
199,1,69.12,2,1,4,214
211,1,50.5,2,1,3,213
180,2,19.98,2,3,2,232
303,1,22.17,1,1,2,112
270,1,6.07,2,1,1,211
313,1,11.25,1,1,2,112
267,2,39.12,2,3,3,233
308,1,13.870000000000001,1,1,2,112
255,1,37.56,2,1,3,213
49,4,53.75,3,4,3,343
300,1,12.98,1,1,2,112
355,1,6.0,1,1,1,111
237,1,46.24,2,1,3,213
287,2,27.11,1,3,3,133
263,1,14.030000000000001,2,1,2,212
236,1,7.44,2,1,1,211
104,1,10.57,3,1,2,312
323,1,30.06,1,1,3,113
276,1,1.42,1,1,1,111
134,1,0.54,3,1,1,311
310,1,20.33,1,1,2,112
58,1,18.5,3,1,2,312
279,1,37.16,1,1,3,113
169,1,9.4,2,1,1,211
249,1,15.780000000000001,2,1,2,212
306,1,8.87,1,1,1,111
136,2,13.05,3,3,2,332
296,1,2.0,1,1,1,111
354,1,8.5,1,1,1,111
94,2,41.2,3,3,3,333
263,1,31.24,2,1,3,213
226,1,9.06,2,1,1,211
308,2,18.29,1,3,2,132
274,1,28.82,1,1,3,113
332,4,81.46000000000001,1,4,4,144
328,1,6.75,1,1,1,111
244,1,8.75,2,1,1,211
296,1,1.75,1,1,1,111
307,2,21.45,1,3,2,132
39,1,11.79,4,1,2,412
189,2,25.69,2,3,3,233
25,1,20.0,4,1,2,412
163,1,4.19,2,1,1,211
146,1,20.66,3,1,2,312
293,2,67.43,1,3,4,134
293,2,60.33,1,3,3,133
328,1,6.68,1,1,1,111
315,1,9.0,1,1,1,111
333,3,35.51,1,3,3,133
272,1,6.75,2,1,1,211
184,1,4.57,2,1,1,211
260,3,220.55,2,3,4,234
101,7,147.15,3,4,4,344
126,2,48.1,3,3,3,333
127,3,93.63,3,3,4,334
347,1,19.78,1,1,2,112
302,3,16.07,1,3,2,132
265,12,112.59,2,4,4,244
266,1,9.35,2,1,1,211
174,1,125.65,2,1,4,214
289,1,5.59,1,1,1,111
269,5,124.06,2,4,4,244
295,1,11.84,1,1,2,112
235,2,15.870000000000001,2,3,2,232
215,4,42.01,2,4,3,243
308,1,17.09,1,1,2,112
79,2,20.22,3,3,2,332
262,1,9.12,2,1,1,211
358,1,18.01,1,1,2,112
153,1,3.75,2,1,1,211
181,1,59.589999999999996,2,1,3,213
309,3,67.84,1,3,4,134
306,11,190.8,1,4,4,144
64,4,52.41,3,4,3,343
270,1,6.12,2,1,1,211
155,2,18.23,2,3,2,232
316,4,67.56,1,4,4,144
340,1,10.56,1,1,2,112
330,1,4.43,1,1,1,111
299,5,49.65,1,4,3,143
124,1,8.46,3,1,1,311
322,1,8.82,1,1,1,111
290,1,20.04,1,1,2,112
307,5,91.44,1,4,4,144
31,4,34.47,4,4,3,443
125,1,25.68,3,1,3,313
299,5,159.25,1,4,4,144
355,1,10.73,1,1,2,112
292,3,62.379999999999995,1,3,3,133
118,7,117.35,3,4,4,344
342,1,22.189999999999998,1,1,2,112
116,7,92.91,3,4,4,344
128,7,74.24,3,4,4,344
309,2,43.04,1,3,3,133
152,2,32.71,2,3,3,233
283,3,519.61,1,3,4,134
247,1,54.36,2,1,3,213
260,6,184.98,2,4,4,244
313,1,32.25,1,1,3,113
262,2,26.82,2,3,3,233
4,1,9.27,4,1,1,411
342,1,5.0,1,1,1,111
238,1,4.91,2,1,1,211
305,1,8.69,1,1,1,111
325,2,26.22,1,3,3,133
235,5,78.07000000000001,2,4,4,244
83,3,19.73,3,3,2,332
260,1,12.18,2,1,2,212
210,1,2.37,2,1,1,211
229,2,25.380000000000003,2,3,3,233
114,1,38.22,3,1,3,313
258,3,34.589999999999996,2,3,3,233
276,1,20.310000000000002,1,1,2,112
273,1,8.69,1,1,1,111
227,3,142.1,2,3,4,234
297,2,23.36,1,3,2,132
322,1,6.18,1,1,1,111
166,4,44.269999999999996,2,4,3,243
220,4,54.370000000000005,2,4,3,243
358,1,11.46,1,1,2,112
222,1,4.5,2,1,1,211
143,1,7.1,3,1,1,311
312,1,4.09,1,1,1,111
225,2,42.05,2,3,3,233
333,1,16.22,1,1,2,112
335,1,20.75,1,1,2,112
272,2,41.8,2,3,3,233
258,1,4.26,2,1,1,211
326,2,24.479999999999997,1,3,3,133
306,1,15.67,1,1,2,112
271,1,33.37,2,1,3,213
299,1,10.23,1,1,2,112
236,2,32.35,2,3,3,233
344,2,21.169999999999998,1,3,2,132
167,2,11.809999999999999,2,3,2,232
246,2,5.84,2,3,1,231
191,1,7.1,2,1,1,211
277,1,6.25,1,1,1,111
262,1,5.87,2,1,1,211
346,1,6.74,1,1,1,111
69,3,47.78,3,3,3,333
319,1,4.43,1,1,1,111
326,1,2.11,1,1,1,111
260,6,46.73,2,4,3,243
208,3,379.96000000000004,2,3,4,234
267,3,31.04,2,3,3,233
110,4,31.759999999999998,3,4,3,343
320,1,12.14,1,1,2,112
12,2,16.27,4,3,2,432
133,1,30.68,3,1,3,313
168,1,19.71,2,1,2,212
88,3,21.63,3,3,2,332
357,1,20.25,1,1,2,112
222,1,15.670000000000002,2,1,2,212
263,1,31.77,2,1,3,213
290,1,17.27,1,1,2,112
323,1,35.21,1,1,3,113
360,1,4.23,1,1,1,111
273,1,14.38,1,1,2,112
292,1,6.69,1,1,1,111
136,8,86.61,3,4,4,344
319,1,9.780000000000001,1,1,1,111
77,7,49.94,3,4,3,343
358,1,8.12,1,1,1,111
268,4,139.62,2,4,4,244
283,4,526.38,1,4,4,144
307,1,13.059999999999999,1,1,2,112
303,5,72.35000000000001,1,4,4,144
65,6,77.95,3,4,4,344
355,1,5.87,1,1,1,111
291,1,11.18,1,1,2,112
281,6,52.08,1,4,3,143
260,2,22.12,2,3,2,232
303,2,46.43,1,3,3,133
333,1,14.040000000000001,1,1,2,112
337,1,47.25,1,1,3,113
167,1,1.42,2,1,1,211
292,1,11.52,1,1,2,112
338,1,43.68,1,1,3,113
346,1,26.09,1,1,3,113
242,2,21.11,2,3,2,232
258,5,49.74,2,4,3,243
273,3,24.259999999999998,1,3,3,133
283,6,178.18,1,4,4,144
323,2,12.24,1,3,2,132
319,2,253.87,1,3,4,134
272,5,57.25,2,4,3,243
345,1,5.73,1,1,1,111
209,2,61.17,2,3,3,233
318,1,5.62,1,1,1,111
353,2,86.21000000000001,1,3,4,134
236,5,71.07,2,4,4,244
312,2,14.889999999999999,1,3,2,132
278,2,41.67,1,3,3,133
240,1,56.79,2,1,3,213
320,1,125.69,1,1,4,114
298,1,14.549999999999999,1,1,2,112
349,2,12.809999999999999,1,3,2,132
299,1,17.380000000000003,1,1,2,112
254,1,10.36,2,1,2,212
285,1,7.49,1,1,1,111
273,3,47.739999999999995,1,3,3,133
318,1,9.120000000000001,1,1,1,111
338,1,6.75,1,1,1,111
254,5,57.739999999999995,2,4,3,243
285,1,10.23,1,1,2,112
148,2,37.0,3,3,3,333
155,7,182.25,2,4,4,244
254,5,752.12,2,4,4,244
299,2,12.51,1,3,2,132
283,1,8.43,1,1,1,111
258,2,19.029999999999998,2,3,2,232
235,1,7.63,2,1,1,211
15,2,93.82,4,3,4,434
339,3,33.760000000000005,1,3,3,133
222,2,66.67,2,3,4,234
236,1,5.0,2,1,1,211
99,3,44.39,3,3,3,333
23,4,127.19999999999999,4,4,4,444
110,3,47.72,3,3,3,333
72,1,36.440000000000005,3,1,3,313
179,3,59.75,2,3,3,233
263,5,167.62,2,4,4,244
289,3,99.26,1,3,4,134
338,1,423.12,1,1,4,114
209,1,13.12,2,1,2,212
322,1,4.91,1,1,1,111
286,1,1.38,1,1,1,111
251,1,35.989999999999995,2,1,3,213
296,1,6.06,1,1,1,111
86,10,346.55,3,4,4,344
129,4,90.76,3,4,4,344
158,1,9.16,2,1,1,211
305,1,7.98,1,1,1,111
136,2,62.95,3,3,3,333
337,1,4.57,1,1,1,111
307,2,171.37,1,3,4,134
292,2,18.75,1,3,2,132
227,7,190.51,2,4,4,244
308,1,22.62,1,1,2,112
311,5,467.75,1,4,4,144
326,2,55.11,1,3,3,133
278,9,448.12,1,4,4,144
111,7,238.39000000000001,3,4,4,344
330,1,15.190000000000001,1,1,2,112
357,1,48.45,1,1,3,113
296,3,31.13,1,3,3,133
286,4,121.78,1,4,4,144
164,1,9.4,2,1,1,211
199,1,5.18,2,1,1,211
233,2,167.77,2,3,4,234
351,2,96.06,1,3,4,134
171,2,11.43,2,3,2,232
314,2,29.990000000000002,1,3,3,133
337,2,11.5,1,3,2,132
312,2,351.83,1,3,4,134
248,1,21.14,2,1,2,212
186,1,34.42,2,1,3,213
17,8,88.71000000000001,4,4,4,444
71,2,30.560000000000002,3,3,3,333
187,2,45.72,2,3,3,233
310,10,239.56,1,4,4,144
300,2,38.129999999999995,1,3,3,133
325,1,15.34,1,1,2,112
317,1,11.43,1,1,2,112
283,7,79.89,1,4,4,144
165,1,9.48,2,1,1,211
260,7,109.66,2,4,4,244
279,4,89.5,1,4,4,144
282,1,4.29,1,1,1,111
221,3,21.08,2,3,2,232
269,5,78.77,2,4,4,244
311,1,34.08,1,1,3,113
286,7,281.83,1,4,4,144
286,2,5.97,1,3,1,131
356,1,14.43,1,1,2,112
301,2,56.25,1,3,3,133
323,4,31.759999999999998,1,4,3,143
212,5,42.05,2,4,3,243
322,1,5.62,1,1,1,111
131,1,5.46,3,1,1,311
337,2,16.93,1,3,2,132
278,3,77.39,1,3,4,134
258,1,5.62,2,1,1,211
321,3,231.2,1,3,4,134
325,1,14.11,1,1,2,112
218,1,2.39,2,1,1,211
347,1,260.95,1,1,4,114
267,1,1.62,2,1,1,211
273,6,363.88,1,4,4,144
291,7,176.49,1,4,4,144
88,4,35.33,3,4,3,343
257,3,57.83,2,3,3,233
141,1,12.75,3,1,2,312
179,5,74.75,2,4,4,244
307,2,48.05,1,3,3,133
343,1,8.37,1,1,1,111
261,1,24.12,2,1,3,213
106,4,36.13,3,4,3,343
288,2,22.95,1,3,2,132
108,2,21.21,3,3,2,332
309,1,6.75,1,1,1,111
323,3,34.93,1,3,3,133
294,5,54.739999999999995,1,4,3,143
256,5,131.53,2,4,4,244
192,5,99.91,2,4,4,244
298,5,57.650000000000006,1,4,3,143
304,4,61.959999999999994,1,4,3,143
262,1,29.54,2,1,3,213
204,7,87.02,2,4,4,244
263,1,22.29,2,1,2,212
246,1,9.0,2,1,1,211
273,2,52.4,1,3,3,133
304,4,76.63,1,4,4,144
297,1,8.0,1,1,1,111
87,3,48.88,3,3,3,333
306,2,12.74,1,3,2,132
247,3,21.34,2,3,2,232
334,1,12.17,1,1,2,112
318,5,27.73,1,4,3,143
235,7,32.99,2,4,3,243
139,2,41.6,3,3,3,333
173,3,16.3,2,3,2,232
212,1,31.77,2,1,3,213
238,1,15.66,2,1,2,212
122,3,65.88,3,3,4,334
257,2,18.63,2,3,2,232
21,1,6.54,4,1,1,411
318,2,22.21,1,3,2,132
323,1,10.98,1,1,2,112
59,1,100.3,3,1,4,314
344,1,3.9,1,1,1,111
155,8,314.26,2,4,4,244
193,2,21.65,2,3,2,232
263,4,29.02,2,4,3,243
187,1,15.88,2,1,2,212
233,1,11.11,2,1,2,212
55,1,4.57,3,1,1,311
307,6,108.57000000000001,1,4,4,144
274,2,25.43,1,3,3,133
137,1,9.5,3,1,1,311
325,3,28.21,1,3,3,133
320,1,32.74,1,1,3,113
310,4,104.22,1,4,4,144
309,5,139.20999999999998,1,4,4,144
326,1,1.9,1,1,1,111
354,1,12.63,1,1,2,112
271,4,104.9,2,4,4,244
343,3,24.28,1,3,3,133
292,5,142.28,1,4,4,144
331,2,84.69,1,3,4,134
205,3,12.87,2,3,2,232
257,3,47.64,2,3,3,233
330,1,7.35,1,1,1,111
101,2,11.25,3,3,2,332
292,1,33.85,1,1,3,113
344,1,3.18,1,1,1,111
298,1,128.56,1,1,4,114
265,1,6.13,2,1,1,211
320,4,30.72,1,4,3,143
269,1,10.39,2,1,2,212
215,4,29.939999999999998,2,4,3,243
273,1,7.02,1,1,1,111
210,10,183.88,2,4,4,244
248,8,186.02,2,4,4,244
326,1,11.21,1,1,2,112
203,4,79.28999999999999,2,4,4,244
216,4,64.8,2,4,4,244
254,1,30.6,2,1,3,213
196,4,33.64,2,4,3,243
168,1,12.27,2,1,2,212
260,1,7.5,2,1,1,211
166,6,146.21,2,4,4,244
264,3,130.8,2,3,4,234
290,1,46.120000000000005,1,1,3,113
356,1,1.36,1,1,1,111
289,1,44.8,1,1,3,113
304,3,52.519999999999996,1,3,3,133
101,4,29.28,3,4,3,343
287,4,31.64,1,4,3,143
197,3,31.36,2,3,3,233
110,4,40.58,3,4,3,343
275,6,53.48,1,4,3,143
346,1,15.08,1,1,2,112
221,3,25.91,2,3,3,233
294,3,38.81,1,3,3,133
299,4,64.6,1,4,4,144
158,1,0.69,2,1,1,211
347,1,10.5,1,1,2,112
298,11,1243.98,1,4,4,144
307,3,24.529999999999998,1,3,3,133
278,6,141.18,1,4,4,144
295,4,210.6,1,4,4,144
261,2,26.1,2,3,3,233
284,7,186.38,1,4,4,144
149,2,37.01,3,3,3,333
337,1,14.23,1,1,2,112
247,3,23.83,2,3,2,232
256,6,78.61,2,4,4,244
326,1,60.59,1,1,3,113
304,4,33.2,1,4,3,143
330,1,1.56,1,1,1,111
333,3,55.47,1,3,3,133
221,1,63.040000000000006,2,1,3,213
268,1,14.92,2,1,2,212
277,1,351.34,1,1,4,114
300,4,30.91,1,4,3,143
317,2,78.39,1,3,4,134
240,1,3.88,2,1,1,211
150,9,146.03,3,4,4,344
263,5,82.7,2,4,4,244
322,1,18.68,1,1,2,112
274,1,7.43,1,1,1,111
285,1,15.15,1,1,2,112
206,2,15.690000000000001,2,3,2,232
286,1,4.02,1,1,1,111
304,1,30.52,1,1,3,113
317,1,10.25,1,1,2,112
300,1,9.68,1,1,1,111
323,1,14.25,1,1,2,112
172,1,14.3,2,1,2,212
291,1,15.67,1,1,2,112
326,1,9.0,1,1,1,111
315,1,6.13,1,1,1,111
326,1,8.38,1,1,1,111
331,1,17.03,1,1,2,112
265,2,40.43,2,3,3,233
171,3,27.93,2,3,3,233
255,1,12.52,2,1,2,212
299,1,8.31,1,1,1,111
166,1,2.06,2,1,1,211
364,1,19.490000000000002,1,1,2,112
313,1,31.88,1,1,3,113
77,2,19.689999999999998,3,3,2,332
189,1,11.19,2,1,2,212
257,1,3.12,2,1,1,211
9,10,118.72,4,4,4,444
267,1,21.21,2,1,2,212
157,2,12.67,2,3,2,232
34,1,14.05,4,1,2,412
118,1,18.88,3,1,2,312
128,1,7.88,3,1,1,311
114,2,19.330000000000002,3,3,2,332
275,1,11.62,1,1,2,112
230,2,41.11,2,3,3,233
260,1,9.11,2,1,1,211
346,1,8.18,1,1,1,111
261,1,27.29,2,1,3,213
313,2,52.83,1,3,3,133
55,2,45.3,3,3,3,333
150,2,8.459999999999999,3,3,1,331
305,1,5.38,1,1,1,111
107,2,19.869999999999997,3,3,2,332
241,1,8.6,2,1,1,211
294,1,3.82,1,1,1,111
289,1,6.35,1,1,1,111
167,1,18.74,2,1,2,212
269,1,2.43,2,1,1,211
347,1,5.66,1,1,1,111
307,1,13.56,1,1,2,112
102,1,4.94,3,1,1,311
281,3,41.92,1,3,3,133
254,3,23.990000000000002,2,3,3,233
135,1,6.35,3,1,1,311
255,5,29.67,2,4,3,243
313,2,25.450000000000003,1,3,3,133
343,1,16.16,1,1,2,112
297,1,6.46,1,1,1,111
314,1,11.71,1,1,2,112
100,1,7.699999999999999,3,1,1,311
288,2,15.68,1,3,2,132
243,3,48.74,2,3,3,233
303,1,13.07,1,1,2,112
317,4,56.32,1,4,3,143
244,4,309.2,2,4,4,244
249,1,11.19,2,1,2,212
61,1,7.06,3,1,1,311
251,1,2.11,2,1,1,211
140,2,12.760000000000002,3,3,2,332
333,2,37.74,1,3,3,133
232,1,7.789999999999999,2,1,1,211
334,1,6.6,1,1,1,111
274,1,6.35,1,1,1,111
301,1,219.98000000000002,1,1,4,114
268,2,46.95,2,3,3,233
287,1,1.75,1,1,1,111
257,1,10.64,2,1,2,212
281,1,10.25,1,1,2,112
326,1,9.93,1,1,1,111
268,2,21.549999999999997,2,3,2,232
141,2,96.53999999999999,3,3,4,334
289,2,15.75,1,3,2,132
106,3,132.32999999999998,3,3,4,334
53,1,25.39,3,1,3,313
51,4,77.52,3,4,4,344
339,1,4.0,1,1,1,111
202,2,43.95,2,3,3,233
35,1,15.81,4,1,2,412
233,12,215.79999999999998,2,4,4,244
285,1,9.280000000000001,1,1,1,111
346,2,120.45,1,3,4,134
285,3,22.77,1,3,2,132
260,4,182.73,2,4,4,244
362,1,8.04,1,1,1,111
272,3,179.82,2,3,4,234
310,2,41.290000000000006,1,3,3,133
21,2,39.12,4,3,3,433
321,1,12.33,1,1,2,112
317,3,9.48,1,3,1,131
219,1,23.44,2,1,2,212
317,1,9.31,1,1,1,111
238,11,492.02,2,4,4,244
274,4,202.27,1,4,4,144
263,1,8.46,2,1,1,211
306,6,343.36,1,4,4,144
255,13,343.25,2,4,4,244
268,2,16.09,2,3,2,232
296,1,15.35,1,1,2,112
340,2,145.2,1,3,4,134
310,2,8.64,1,3,1,131
242,1,11.19,2,1,2,212
324,1,7.43,1,1,1,111
182,2,13.809999999999999,2,3,2,232
226,8,138.9,2,4,4,244
362,1,4.43,1,1,1,111
161,2,33.03,2,3,3,233
133,1,9.92,3,1,1,311
272,4,70.65,2,4,4,244
235,3,59.8,2,3,3,233
291,3,56.21,1,3,3,133
287,4,188.60999999999999,1,4,4,144
287,1,13.88,1,1,2,112
173,3,23.4,2,3,2,232
285,1,75.81,1,1,4,114
136,4,75.72,3,4,4,344
306,2,32.99,1,3,3,133
276,1,4.57,1,1,1,111
44,2,10.55,4,3,2,432
191,1,78.51,2,1,4,214
274,2,12.94,1,3,2,132
332,1,10.57,1,1,2,112
340,1,6.81,1,1,1,111
2,5,44.57,4,4,3,443
135,3,29.05,3,3,3,333
330,2,125.63,1,3,4,134
342,2,21.759999999999998,1,3,2,132
285,3,43.0,1,3,3,133
285,6,331.84,1,4,4,144
262,3,68.85,2,3,4,234
278,1,11.93,1,1,2,112
305,1,3.96,1,1,1,111
316,5,23.240000000000002,1,4,2,142
129,1,14.05,3,1,2,312
349,1,9.0,1,1,1,111
282,1,31.490000000000002,1,1,3,113
286,7,52.86,1,4,3,143
361,1,5.73,1,1,1,111
324,3,24.98,1,3,3,133
272,10,93.89,2,4,4,244
317,1,7.629999999999999,1,1,1,111
265,1,21.55,2,1,2,212
362,1,41.050000000000004,1,1,3,113
345,1,15.08,1,1,2,112
332,2,12.66,1,3,2,132
286,3,42.04,1,3,3,133
305,1,5.57,1,1,1,111
315,11,368.23,1,4,4,144
191,1,5.66,2,1,1,211
168,1,6.68,2,1,1,211
297,1,5.12,1,1,1,111
60,6,54.53,3,4,3,343
73,4,86.53,3,4,4,344
279,1,5.43,1,1,1,111
295,3,17.759999999999998,1,3,2,132
293,1,3.63,1,1,1,111
325,3,111.4,1,3,4,134
336,1,5.14,1,1,1,111
187,2,36.269999999999996,2,3,3,233
348,1,13.65,1,1,2,112
248,3,117.78999999999999,2,3,4,234
140,1,26.43,3,1,3,313
